"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","darkorange",TRUE,0.0411,1796,381,65,0.171,0.036,"GO:0071702","BP",3,"organic substance transport",1,"ABCC8,TOMM34,SLC4A7,ATP6V1H,USP36,RPL18,CTSA,DRD4,ACTB,EDN1,SLC7A8,TGFB2,STX1B,RANBP1,TBC1D10A,SLC25A17,TM9SF4,SYNDIG1,ABCD1,NAPA,KDELR1,RPL28,ABCC3,GAPDH,FAF2,IPO13,ATP6V0B,STX12,PEX16,GIPC1,SYMPK,ATP6V1F,SLC26A10,TXN,RPLP1,ITGAV,SGSM2,CACNA1A,RPL10,ATP13A2,CPSF4,RPL8,U2AF1L4,SLC45A1,SLC35A1,SLC27A4,RAB4B,XPO6,SLC29A2,RPLP2,MAPK15,SLC25A10,LCN12,RAB11B,TCN2,S100A13,AP2A1,ARRDC1,SLC22A4,SLC22A5,DDX39B,LGR4,PAM16,PRAF2,TIMM23",3.48181054000718
"2","darkorange",TRUE,0.0394,11197,381,278,0.73,0.025,"GO:0043226","CC",2,"organelle",1,"FUCA2,MAD1L1,ARF5,RHBDD2,ALDH3B1,LUC7L,PIGQ,DYRK4,MAMLD1,TOMM34,FAS,AGPAT4,TNC,CAPG,TRIT1,ATP6V1H,VPS13D,USP36,RPL18,GPC1,CTSA,METTL22,NAV3,RNF126,PRKACA,SPEG,CRMP1,FERMT2,ENO1,ACTB,DNAJC10,CAPZB,EDN1,PGM1,MOK,ZNF446,PILRA,TGFB2,CDC23,NANS,SCD,TMED1,MZF1,STX1B,POLR2E,RANBP1,MED15,P2RX6,TBC1D10A,GGT1,CYB5R3,HMGXB4,SLC25A17,MTHFD1,VRK1,APEX1,CHD8,MYL9,TM9SF4,SYNDIG1,PIGU,APMAP,RNMT,NXT2,ABCD1,CCDC22,FGD1,VAC14,COTL1,HMOX2,SPG11,SF3A2,C19ORF53,TBCB,NAPA,KDELR1,PLA2G4C,PPP2R1A,COPE,SUGP1,PBX4,MRPL32,EDF1,RPL28,PBLD,RGS9,CAMTA2,DRG2,SC5D,ST3GAL4,UPK2,CD81,MVK,GAPDH,USP5,E2F3,FAF2,DNAH1,AAK1,ALMS1,MRPL37,KIF17,IPO13,ATP6V0B,STX12,ZNF541,TCTN3,MTHFD1L,ACAT2,ALG5,PEX16,ANXA11,ZMIZ2,GIPC1,CPNE5,SYMPK,NRSN2,SNRPB2,CAPNS1,MAP2K2,SMARCA4,ATP6V1F,CNN1,DDA1,LSM4,CHMP2A,WBP2,PEMT,CCNA1,THUMPD3,CCNH,FADS2,SERPINE2,TXN,DPM2,RPLP1,ITGAV,BMP2K,MMAB,C12ORF10,MAN2C1,CYP11A1,SEC11A,SGSM2,G6PC3,CACNA1A,COL6A1,MTF2,ALDH9A1,SF3B4,MRPL9,FAM193B,PNLDC1,CCNB3,EBP,CETN2,RPL10,MRRF,PDSS1,DOC2A,NBAS,GFRA1,NMRAL1,DNAAF1,ZNF18,PTDSS1,SUPV3L1,HK1,SLC37A3,C21ORF59,ATP13A2,ATAD3B,RSPH1,G6PD,AGPAT3,C21ORF2,CPSF4,RPL8,U2AF1L4,PGAP3,SLC25A45,AKR7A3,ALPL,MRPL55,IGFN1,SLC35A1,SUN1,POLL,NAV2,SLC27A4,RAB4B,BSCL2,NDUFS5,XPO6,SPNS1,FASN,GPS1,GUSB,TRAPPC1,NDUFA3,CYP4F11,PPIH,MACROD2,SUCLG2,EFEMP2,TRIB1,GOLT1A,SLC29A2,YIF1A,B3GALT6,ST8SIA3,RPLP2,ACAD9,UBE2N,NDUFAF3,EPM2AIP1,DPY19L3,RAD23A,GPC5,TMEM86B,SSR4,MAPK15,SGSH,IDH2,GRID1,MTA1,SLC25A10,CMSS1,CCR10,NOC4L,RAB11B,TCN2,TOR3A,EFCAB6,EXD3,TMEM120B,SKOR1,S100A13,SEMA4A,INCA1,TSC22D2,SULF2,PLXNB2,PDLIM7,AP2A1,LAGE3,ARRDC1,SND1,SLC22A4,TRIM33,SLC22A5,ENTPD6,ATAD3A,HES5,DDX39B,MT-CO3,AGER,CSNK2B,DDR1,DCTN1,TMEM231,PSENEN,DENND6B,RNF208,HAUS7,LAT,DDAH2,PPME1,COL28A1,GOLGA8B,MYL5,PAM16,ALKBH6,HLA-DOB,MRPL20,CTSO,TIMM23,CYFIP1",0.760772938189011
"3","darkorange",TRUE,0.00675,10424,381,266,0.698,0.026,"GO:0043227","CC",2,"membrane-bounded organelle",2,"FUCA2,MAD1L1,ARF5,RHBDD2,ALDH3B1,LUC7L,PIGQ,DYRK4,MAMLD1,TOMM34,FAS,AGPAT4,TNC,CAPG,TRIT1,ATP6V1H,VPS13D,USP36,RPL18,GPC1,CTSA,METTL22,RNF126,PRKACA,SPEG,FERMT2,ENO1,ACTB,DNAJC10,CAPZB,EDN1,PGM1,MOK,ZNF446,PILRA,TGFB2,CDC23,NANS,SCD,TMED1,MZF1,STX1B,POLR2E,RANBP1,MED15,P2RX6,TBC1D10A,GGT1,CYB5R3,HMGXB4,SLC25A17,MTHFD1,VRK1,APEX1,CHD8,TM9SF4,SYNDIG1,PIGU,APMAP,RNMT,NXT2,ABCD1,CCDC22,FGD1,VAC14,COTL1,HMOX2,SPG11,SF3A2,C19ORF53,NAPA,KDELR1,PLA2G4C,PPP2R1A,COPE,SUGP1,PBX4,MRPL32,EDF1,RPL28,PBLD,RGS9,CAMTA2,DRG2,SC5D,ST3GAL4,UPK2,CD81,MVK,GAPDH,USP5,E2F3,FAF2,AAK1,MRPL37,IPO13,ATP6V0B,STX12,ZNF541,TCTN3,MTHFD1L,ACAT2,ALG5,PEX16,ANXA11,ZMIZ2,GIPC1,CPNE5,SYMPK,NRSN2,SNRPB2,CAPNS1,MAP2K2,SMARCA4,ATP6V1F,DDA1,LSM4,CHMP2A,WBP2,PEMT,CCNA1,THUMPD3,CCNH,FADS2,SERPINE2,TXN,DPM2,ITGAV,BMP2K,MMAB,C12ORF10,MAN2C1,CYP11A1,SEC11A,SGSM2,G6PC3,CACNA1A,COL6A1,MTF2,ALDH9A1,SF3B4,MRPL9,FAM193B,PNLDC1,CCNB3,EBP,CETN2,RPL10,MRRF,PDSS1,DOC2A,NBAS,GFRA1,NMRAL1,DNAAF1,ZNF18,PTDSS1,SUPV3L1,HK1,SLC37A3,C21ORF59,ATP13A2,ATAD3B,RSPH1,G6PD,AGPAT3,C21ORF2,CPSF4,U2AF1L4,PGAP3,SLC25A45,AKR7A3,ALPL,MRPL55,IGFN1,SLC35A1,SUN1,POLL,NAV2,SLC27A4,RAB4B,BSCL2,NDUFS5,XPO6,SPNS1,FASN,GPS1,GUSB,TRAPPC1,NDUFA3,CYP4F11,PPIH,MACROD2,SUCLG2,EFEMP2,TRIB1,GOLT1A,SLC29A2,YIF1A,B3GALT6,ST8SIA3,RPLP2,ACAD9,UBE2N,NDUFAF3,EPM2AIP1,DPY19L3,RAD23A,GPC5,TMEM86B,SSR4,MAPK15,SGSH,IDH2,GRID1,MTA1,SLC25A10,CMSS1,CCR10,NOC4L,RAB11B,TCN2,TOR3A,EFCAB6,EXD3,TMEM120B,SKOR1,S100A13,SEMA4A,INCA1,TSC22D2,SULF2,PLXNB2,PDLIM7,AP2A1,LAGE3,ARRDC1,SND1,SLC22A4,TRIM33,SLC22A5,ENTPD6,ATAD3A,HES5,DDX39B,MT-CO3,AGER,CSNK2B,DDR1,DCTN1,TMEM231,PSENEN,DENND6B,RNF208,LAT,DDAH2,PPME1,COL28A1,GOLGA8B,PAM16,ALKBH6,HLA-DOB,MRPL20,CTSO,TIMM23,CYFIP1",0.950314742956453
"4","darkorange",TRUE,0.0124,63,177,8,0.045,0.127,"KEGG:04721","keg",1,"Synaptic vesicle cycle",1,"ATP6V1H,STX1B,NAPA,ATP6V0B,ATP6V1F,CACNA1A,CPLX1,AP2A1",NA
"5","darkorange",TRUE,0.00309,2087,245,77,0.314,0.037,"REAC:R-HSA-1430728","rea",4,"Metabolism",1,"ABCC8,ALDH3B1,AGPAT4,RPL18,GPC1,CTSA,PRKACA,ENO1,PGM1,SCD,MED15,GGT1,CYB5R3,SLC25A17,MTHFD1,ABCD1,VAC14,HMOX2,PLA2G4C,PPP2R1A,RPL28,ABCC3,SC5D,ST3GAL4,MVK,GAPDH,HMGCS1,SRM,MTHFD1L,ACAT2,ITPA,GGT7,SLC6A11,EEFSEC,PEMT,FADS2,TXN,RPLP1,MMAB,MAN2C1,CYP11A1,G6PC3,CACNA1A,ALDH9A1,PPIP5K2,EBP,RPL10,PDSS1,NMRAL1,PTDSS1,HK1,G6PD,AGPAT3,RPL8,AKR7A3,NDUFS5,FASN,GUSB,NDUFA3,CYP4F11,SUCLG2,B3GALT6,RPLP2,ACAD9,NDUFAF3,GPC5,TMEM86B,SGSH,IDH2,SLC25A10,TCN2,SULT1A1,SLC22A5,ENTPD6,MT-CO3,CSNK2B,DDAH2",NA
"6","darkturquoise",TRUE,0.0143,172,127,10,0.079,0.058,"REAC:R-HSA-5357801","rea",1,"Programmed Cell Death",1,"PSMA4,LMNB1,RIPK1,PSMA5,GAS2,PSMD6,CASP7,HIST1H1E,MLKL,SFN",NA
"7","sienna3",TRUE,0.00916,30,774,9,0.012,0.3,"GO:0050691","BP",26,"regulation of defense response to virus by host",1,"TRAF3IP2,IL12RB1,DDX58,STAT1,TNFAIP3,PARP9,DTX3L,ZC3H12A,APOBEC3G",6.89882421111262
"8","sienna3",TRUE,0.00417,21,774,8,0.01,0.381,"GO:0002230","BP",26,"positive regulation of defense response to virus by host",2,"TRAF3IP2,IL12RB1,DDX58,STAT1,PARP9,DTX3L,ZC3H12A,APOBEC3G",6.98189080981123
"9","sienna3",TRUE,2.23e-10,527,774,64,0.083,0.121,"GO:0001816","BP",22,"cytokine production",1,"SLC11A1,CD74,BIRC3,BTN3A1,HDAC7,KARS,NFKB2,IL12RB1,PCSK5,HMOX1,HIF1A,GSDMD,EBI3,PRKD2,JAK3,DDX58,NFKB1,CD86,IFIH1,FN1,STAT1,GBP1,TNFAIP3,CD274,SRGN,IL1B,C3,IRF5,BST2,LILRB2,TRIM21,CHI3L1,RSAD2,ANXA1,IL6,FURIN,NLRC5,ADCYAP1,BCL10,S100A8,BATF,FCER1G,S100A9,ZC3H12A,IL15,B2M,LGALS9,TRIM56,CD14,CEBPB,RASGRP1,MYD88,IL17RA,BTN3A2,ISG15,PNP,HSPA1B,HMSD,HLA-DPB1,HLA-B,NFAM1,LILRA2,LYN,MC1R",4.58113634993282
"10","sienna3",TRUE,0.00715,73,774,14,0.018,0.192,"GO:0032609","BP",22,"interferon-gamma production",2,"SLC11A1,BTN3A1,IL12RB1,EBI3,CD274,IL1B,ZC3H12A,LGALS9,CD14,RASGRP1,BTN3A2,ISG15,HMSD,HLA-DPB1",7.03028735067308
