"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","steelblue",TRUE,6.46e-08,157,331,19,0.057,0.121,"GO:0140053","BP",1,"mitochondrial gene expression",1,"MRPL32,MRPS26,MRPS9,MRPL47,MRPL15,MRPL24,MRPL16,TRMT61B,MRPL52,MRP63,AURKAIP1,MRPL14,MRPL54,COA3,MRPL40,MRPL53,MRPL20,MRPS21,NDUFA7",NA
"2","steelblue",TRUE,2.96e-05,6297,331,156,0.471,0.025,"GO:0071840","BP",1,"cellular component organization or biogenesis",1,"M6PR,PSMC4,TFB1M,TMSB10,RPL26L1,GOLGA5,TSG101,ACAT1,EXOSC7,ICAM3,ITGAE,KIF9,SCFD1,TINF2,NDUFB7,SAMM50,EIF3D,IFT27,RBX1,PQBP1,NUBP1,ECH1,MRPL32,PHYH,FOLR1,ARPC3,DNPH1,PFDN1,FAM162A,RPL24,IQCG,ROPN1B,DGUOK,NDUFS7,PARK7,LAMTOR2,IFT43,SLIRP,CUTC,CLYBL,NDUFA1,SNRPD2,MRPS26,SHFM1,CDKN2D,NGDN,TUBGCP2,CHMP2A,NDUFA2,MAP1B,PEX11B,POMP,DYDC2,CDK7,CCNH,GNL2,TIMM10,BLOC1S1,MRPS9,NDUFB5,MRPL47,RPL35,DSCC1,MRPL15,NDUFA9,VAMP1,SNRPF,DET1,NUDT7,NDUFB10,PFDN2,MRPL24,NDUFS6,TBC1D7,CETN2,MSRB2,PDSS1,IMMP1L,SAP18,HAUS1,INO80C,AIFM1,SEC13,NRG1,ATP5G1,PSMD4,RSPH1,NDUFV3,VPS11,RPS14,PSMC3,MRPL16,SNRPD1,RAB4B,ATP5H,COPS6,NDUFS5,ATP5I,NFU1,BOLA2B,TRAPPC1,STX8,LSM3,NDUFA3,TRMT61B,EXOSC1,GPHN,TRAPPC12,MRPL52,MRP63,MTX1,SNCG,ARV1,PTPRM,ATR,AURKAIP1,SWI5,RPS27,NDUFAF3,NDUFV2,PSMG4,MRPL14,TRAPPC5,SNRPE,MRPL54,COA3,APOO,NDUFA6,F8,FAF1,SMYD3,MRPL40,NRN1L,TUBB4B,PPIA,DYNC1H1,RPL12,UBL5,HYLS1,YTHDF2,PFDN6,CSNK2B,MRPL53,DCTN1,TCTEX1D2,NDUFS3,PET100,MCTS1,ATP5O,EIF6,MRPL20,NFS1,TIMM23,MRPS21,NDUFA7,GTF2H5",2.24797428336949
"3","steelblue",TRUE,6.07e-07,3105,331,98,0.296,0.032,"GO:0044085","BP",1,"cellular component biogenesis",2,"PSMC4,TFB1M,RPL26L1,TSG101,ACAT1,EXOSC7,KIF9,SCFD1,TINF2,NDUFB7,SAMM50,EIF3D,IFT27,RBX1,NUBP1,FOLR1,ARPC3,RPL24,IQCG,NDUFS7,PARK7,IFT43,CUTC,CLYBL,NDUFA1,SNRPD2,SHFM1,NGDN,TUBGCP2,CHMP2A,NDUFA2,PEX11B,POMP,CDK7,CCNH,GNL2,MRPS9,NDUFB5,RPL35,NDUFA9,VAMP1,SNRPF,DET1,NDUFB10,NDUFS6,TBC1D7,CETN2,MSRB2,PDSS1,IMMP1L,HAUS1,SEC13,NRG1,PSMD4,RSPH1,NDUFV3,VPS11,RPS14,PSMC3,SNRPD1,NDUFS5,NFU1,BOLA2B,TRAPPC1,LSM3,NDUFA3,TRMT61B,EXOSC1,TRAPPC12,ATR,SWI5,RPS27,NDUFAF3,NDUFV2,PSMG4,TRAPPC5,SNRPE,COA3,NDUFA6,F8,FAF1,SMYD3,TUBB4B,DYNC1H1,RPL12,HYLS1,PFDN6,CSNK2B,DCTN1,TCTEX1D2,NDUFS3,PET100,MCTS1,EIF6,MRPL20,NFS1,NDUFA7,GTF2H5",3.59204368857778
"4","steelblue",TRUE,0.000358,436,331,25,0.076,0.057,"GO:0022613","BP",1,"ribonucleoprotein complex biogenesis",3,"TFB1M,RPL26L1,EXOSC7,EIF3D,RPL24,SNRPD2,NGDN,GNL2,MRPS9,RPL35,SNRPF,RPS14,SNRPD1,LSM3,TRMT61B,EXOSC1,ATR,RPS27,SNRPE,DYNC1H1,RPL12,MCTS1,EIF6,MRPL20,GTF2H5",5.54568205730963
"5","steelblue",TRUE,4.19e-09,996,331,51,0.154,0.051,"GO:0055114","BP",1,"oxidation-reduction process",1,"UQCRC1,FAR2,IDH3G,SDHA,ACAT1,BLVRB,FH,NDUFB7,SLC25A14,ECH1,ETFB,BLVRA,PHYH,NDUFS7,GPX7,PARK7,AKR1A1,NQO2,NDUFA1,COX6B1,PRDX5,COX4I1,NDUFA2,PDHA1,BLOC1S1,COX5B,NDUFB5,TXN,NDUFA9,NDUFB10,NDUFS6,MSRB2,GSTO1,AIFM1,PHKG2,NDUFV3,UQCRQ,COX6C,NDUFS5,NDUFA3,GPHN,NDUFV2,EPM2AIP1,DHRS7C,NDUFA6,F8,WWOX,MT-CO2,NDUFS3,NDUFA7,SRXN1",4.62044271985946
"6","steelblue",TRUE,0.000115,6908,331,165,0.498,0.024,"GO:1901564","BP",1,"organonitrogen compound metabolic process",1,"PSMB1,RPS20,DYRK4,UQCRC1,NME1-NME2,PSMC4,RPL26L1,FAR2,EIF2B3,SDHA,TSG101,ACAT1,BLVRB,GNPTG,TINF2,MARCH2,NDUFB7,DDT,EIF3D,RBX1,PSMA3,ERH,ABHD12,PSMA7,PIN4,UBXN8,NUDT1,MRPL32,BLVRA,PLGRKT,UFSP2,FOLR1,PTPMT1,DNPH1,THBS4,FAM162A,RPL24,ROPN1B,SPCS1,EEF1B2,DGUOK,EIF2B4,NDUFS7,PARK7,LAMTOR2,AKR1A1,GDA,ALG5,OPN4,CLYBL,NDUFA1,MRPS26,UROD,PRDX5,PNKD,SHFM1,ANAPC13,PSMA1,CDKN2D,NGDN,NEDD8,COX4I1,NDUFA2,PDHA1,DYDC2,CDK7,CCNH,BLOC1S1,COX5B,MRPS9,NDUFB5,MRPL47,TXN,PSMB7,RPL35,DSCC1,MRPL15,ATIC,NDUFA9,DET1,NUDT7,NDUFB10,PSMA5,MRPL24,LYPLAL1,NDUFS6,TBC1D7,MSRB2,GSTO1,IMMP1L,SAP18,OXSM,INO80C,PPM1J,MED7,AIFM1,WDYHV1,PHKG2,NRG1,ATP5G1,PSMD4,NDUFV3,VPS11,UQCRQ,RPS14,PSMC3,RPL27A,MRPL16,ATP5H,COPS6,NDUFS5,TMEM208,RNF181,ATP5I,BOLA2B,MGMT,NDUFA3,GPHN,TRAPPC12,MACROD2,MRPL52,MRP63,COMMD1,ARV1,PTPRM,PSMD1,ATR,PCCA,AURKAIP1,TALDO1,RPS27,NDUFV2,DPM3,MRPL14,MRPL54,MARCH11,COA3,NDUFA6,F8,FAF1,SMYD3,MRPL40,FHIT,PPIA,PIK3R4,AMZ2,RPL12,UBL5,YTHDF2,MT-CO2,CSNK2B,MRPL53,PSENEN,SARNP,NDUFS3,CKMT1A,MCTS1,NME1,ATP5O,EIF6,MRPL20,NFS1,MRPS21,NDUFA7,PSMB3",3.29478458047481
"7","steelblue",TRUE,0.0367,1846,331,56,0.169,0.03,"GO:1901566","BP",1,"organonitrogen compound biosynthetic process",2,"RPS20,NME1-NME2,RPL26L1,EIF2B3,ACAT1,EIF3D,ERH,MRPL32,RPL24,EEF1B2,DGUOK,EIF2B4,PARK7,AKR1A1,ALG5,MRPS26,UROD,NGDN,PDHA1,COX5B,MRPS9,MRPL47,RPL35,MRPL15,ATIC,MRPL24,GSTO1,ATP5G1,RPS14,RPL27A,MRPL16,ATP5H,ATP5I,GPHN,MRPL52,MRP63,AURKAIP1,RPS27,DPM3,MRPL14,MRPL54,COA3,MRPL40,RPL12,YTHDF2,MT-CO2,MRPL53,SARNP,MCTS1,NME1,ATP5O,EIF6,MRPL20,NFS1,MRPS21,NDUFA7",3.87205680899179
"8","steelblue",TRUE,0.000443,1987,331,65,0.196,0.033,"GO:0044281","BP",1,"small molecule metabolic process",1,"UQCRC1,NME1-NME2,FAR2,IDH3G,SDHA,ACAT1,FH,NANS,NDUFB7,ERH,ECH1,ETFB,NUDT1,PHYH,FOLR1,DNPH1,DGUOK,NDUFS7,PARK7,AKR1A1,GDA,CLYBL,NDUFA1,PNKD,COX4I1,NDUFA2,PDHA1,COX5B,RNASEH2B,NDUFB5,TXN,ATIC,NDUFA9,NUDT7,NDUFB10,NDUFS6,PDSS1,GSTO1,OXSM,PHKG2,ATP5G1,NDUFV3,UQCRQ,ATP5H,NDUFS5,ATP5I,NDUFA3,GPHN,MACROD2,COQ2,ARV1,PCCA,TALDO1,NDUFV2,EPM2AIP1,NDUFA6,FHIT,MT-CO2,NDUFS3,CKMT1A,NME1,ATP5O,EIF6,NFS1,NDUFA7",3.03885756764053
"9","steelblue",TRUE,2.02e-11,746,331,47,0.142,0.063,"GO:0055086","BP",1,"nucleobase-containing small molecule metabolic process",2,"UQCRC1,NME1-NME2,FAR2,SDHA,ACAT1,NANS,NDUFB7,ERH,NUDT1,DNPH1,DGUOK,NDUFS7,PARK7,GDA,NDUFA1,COX4I1,NDUFA2,PDHA1,COX5B,RNASEH2B,NDUFB5,ATIC,NDUFA9,NUDT7,NDUFB10,NDUFS6,OXSM,ATP5G1,NDUFV3,UQCRQ,ATP5H,NDUFS5,ATP5I,NDUFA3,GPHN,MACROD2,TALDO1,NDUFV2,NDUFA6,FHIT,MT-CO2,NDUFS3,NME1,ATP5O,EIF6,NFS1,NDUFA7",4.54125698370122
"10","steelblue",TRUE,0.000168,6120,331,150,0.453,0.025,"GO:0016043","BP",1,"cellular component organization",1,"M6PR,PSMC4,TFB1M,TMSB10,GOLGA5,TSG101,ACAT1,ICAM3,ITGAE,KIF9,SCFD1,TINF2,NDUFB7,SAMM50,EIF3D,IFT27,RBX1,PQBP1,NUBP1,ECH1,MRPL32,PHYH,FOLR1,ARPC3,DNPH1,PFDN1,FAM162A,RPL24,IQCG,ROPN1B,DGUOK,NDUFS7,PARK7,LAMTOR2,IFT43,SLIRP,CUTC,CLYBL,NDUFA1,SNRPD2,MRPS26,SHFM1,CDKN2D,TUBGCP2,CHMP2A,NDUFA2,MAP1B,PEX11B,POMP,DYDC2,CDK7,CCNH,TIMM10,BLOC1S1,MRPS9,NDUFB5,MRPL47,DSCC1,MRPL15,NDUFA9,VAMP1,SNRPF,DET1,NUDT7,NDUFB10,PFDN2,MRPL24,NDUFS6,TBC1D7,CETN2,MSRB2,PDSS1,IMMP1L,SAP18,HAUS1,INO80C,AIFM1,SEC13,NRG1,ATP5G1,PSMD4,RSPH1,NDUFV3,VPS11,RPS14,PSMC3,MRPL16,SNRPD1,RAB4B,ATP5H,COPS6,NDUFS5,ATP5I,NFU1,BOLA2B,TRAPPC1,STX8,LSM3,NDUFA3,TRMT61B,GPHN,TRAPPC12,MRPL52,MRP63,MTX1,SNCG,ARV1,PTPRM,ATR,AURKAIP1,SWI5,RPS27,NDUFAF3,NDUFV2,PSMG4,MRPL14,TRAPPC5,SNRPE,MRPL54,COA3,APOO,NDUFA6,F8,FAF1,SMYD3,MRPL40,NRN1L,TUBB4B,PPIA,DYNC1H1,RPL12,UBL5,HYLS1,YTHDF2,PFDN6,CSNK2B,MRPL53,DCTN1,TCTEX1D2,NDUFS3,PET100,MCTS1,ATP5O,EIF6,MRPL20,NFS1,TIMM23,MRPS21,NDUFA7,GTF2H5",2.26874934594445
