"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","pink",TRUE,3.66e-08,1644,740,125,0.169,0.076,"GO:0044281","BP",3,"small molecule metabolic process",1,"PON1,ALDH3B1,COX15,ACAA1,HSD17B10,MCCC1,ME2,ACOX3,SULT2B1,SLC9A1,SLC7A8,NDUFB7,SEC14L2,SLC16A8,CYP2D6,CYB5R3,TXN2,SLC25A17,GSS,DHODH,FAH,DECR1,TSTA3,ETFB,PLA2G4C,GCDH,PON3,AIMP2,AK1,PTGDS,ALDOC,PPARGC1A,HARS2,NME5,NIT2,RBP1,ABHD14B,ACADL,DARS,MECR,CTH,GALE,ACOT2,ACADS,SARDH,CLYBL,NT5C,ALKBH7,ITPA,ASL,PPCS,ECHS1,SRD5A3,TST,ALDH1A2,CLN6,GAMT,PGLS,NDUFA10,ASS1,SLC35D2,RGN,CKMT2,COQ3,HRSP12,FADS2,COQ10A,NPL,DPM2,BPHL,PPCDC,NDUFA9,SDSL,MMAB,CYP11A1,RLBP1,NUDT7,GCSH,G6PC3,PYCR2,THNSL2,PCYOX1L,ADHFE1,FUOM,TM7SF2,HKDC1,COX6A2,GHRL,ALDH4A1,BDH1,ACOX1,ASRGL1,HAAO,CDS1,ALDH1A1,SLC27A4,ECI1,GLYCTK,ADAL,BSG,FGGY,CES2,DCAKD,ACAD9,IMPDH2,MPI,PIPOX,PRKAG1,IDH2,SLC25A10,ACSM5,UPP1,MARC1,UROS,FHIT,SULT1A1,HSD17B8,NT5M,HEXA,DDAH2,PPP1R3E,HOGA1,DECR2,BCKDHA,NDUFA7",3.03885756764053
"2","pink",TRUE,3.08e-11,346,740,50,0.068,0.145,"GO:0044282","BP",3,"small molecule catabolic process",2,"PON1,ACAA1,HSD17B10,MCCC1,ACOX3,SLC9A1,TXN2,SLC25A17,FAH,DECR1,ETFB,GCDH,PON3,ALDOC,ACADL,MECR,CTH,GALE,ACADS,SARDH,NT5C,ECHS1,SRD5A3,TST,HRSP12,NPL,SDSL,NUDT7,GCSH,THNSL2,PCYOX1L,ADHFE1,ALDH4A1,BDH1,ACOX1,ASRGL1,HAAO,ALDH1A1,ECI1,GLYCTK,ADAL,PIPOX,UPP1,SULT1A1,NT5M,HEXA,DDAH2,HOGA1,DECR2,BCKDHA",5.57417401310394
"3","pink",TRUE,2.68e-07,886,740,79,0.107,0.089,"GO:0006082","BP",3,"organic acid metabolic process",2,"PON1,ACAA1,HSD17B10,MCCC1,ME2,ACOX3,SULT2B1,SLC9A1,SLC7A8,SLC16A8,CYP2D6,CYB5R3,TXN2,SLC25A17,GSS,FAH,DECR1,ETFB,PLA2G4C,GCDH,PON3,AIMP2,PTGDS,ALDOC,PPARGC1A,HARS2,NIT2,ABHD14B,ACADL,DARS,MECR,CTH,ACOT2,ACADS,SARDH,ALKBH7,ASL,ECHS1,TST,ALDH1A2,GAMT,ASS1,SLC35D2,RGN,CKMT2,HRSP12,FADS2,NPL,BPHL,SDSL,NUDT7,GCSH,PYCR2,THNSL2,PCYOX1L,ADHFE1,HKDC1,ALDH4A1,ACOX1,ASRGL1,HAAO,SLC27A4,ECI1,BSG,CES2,ACAD9,PIPOX,PRKAG1,IDH2,ACSM5,MARC1,UROS,SULT1A1,HSD17B8,HEXA,DDAH2,HOGA1,DECR2,BCKDHA",4.05248342890963
"4","pink",TRUE,1.38e-07,874,740,79,0.107,0.09,"GO:0043436","BP",3,"oxoacid metabolic process",3,"PON1,ACAA1,HSD17B10,MCCC1,ME2,ACOX3,SULT2B1,SLC9A1,SLC7A8,SLC16A8,CYP2D6,CYB5R3,TXN2,SLC25A17,GSS,FAH,DECR1,ETFB,PLA2G4C,GCDH,PON3,AIMP2,PTGDS,ALDOC,PPARGC1A,HARS2,NIT2,ABHD14B,ACADL,DARS,MECR,CTH,ACOT2,ACADS,SARDH,ALKBH7,ASL,ECHS1,TST,ALDH1A2,GAMT,ASS1,SLC35D2,RGN,CKMT2,HRSP12,FADS2,NPL,BPHL,SDSL,NUDT7,GCSH,PYCR2,THNSL2,PCYOX1L,ADHFE1,HKDC1,ALDH4A1,ACOX1,ASRGL1,HAAO,SLC27A4,ECI1,BSG,CES2,ACAD9,PIPOX,PRKAG1,IDH2,ACSM5,MARC1,UROS,SULT1A1,HSD17B8,HEXA,DDAH2,HOGA1,DECR2,BCKDHA",4.06178188981931
"5","pink",TRUE,1.73e-07,797,740,74,0.1,0.093,"GO:0019752","BP",3,"carboxylic acid metabolic process",4,"PON1,ACAA1,HSD17B10,MCCC1,ME2,ACOX3,SLC9A1,SLC7A8,SLC16A8,CYP2D6,CYB5R3,TXN2,SLC25A17,GSS,FAH,DECR1,ETFB,PLA2G4C,GCDH,PON3,AIMP2,PTGDS,ALDOC,PPARGC1A,HARS2,NIT2,ACADL,DARS,MECR,CTH,ACOT2,ACADS,SARDH,ALKBH7,ASL,ECHS1,TST,ALDH1A2,GAMT,ASS1,RGN,CKMT2,HRSP12,FADS2,NPL,BPHL,SDSL,NUDT7,GCSH,PYCR2,THNSL2,PCYOX1L,ADHFE1,HKDC1,ALDH4A1,ACOX1,ASRGL1,HAAO,SLC27A4,ECI1,BSG,CES2,ACAD9,PIPOX,PRKAG1,IDH2,ACSM5,UROS,HSD17B8,HEXA,DDAH2,HOGA1,DECR2,BCKDHA",4.18451345500885
"6","pink",TRUE,0.00709,453,740,41,0.055,0.091,"GO:0032787","BP",3,"monocarboxylic acid metabolic process",5,"PON1,ACAA1,MCCC1,ME2,ACOX3,SLC16A8,CYP2D6,SLC25A17,DECR1,ETFB,PLA2G4C,GCDH,PON3,PTGDS,ALDOC,PPARGC1A,NIT2,ACADL,MECR,ACOT2,ACADS,ALKBH7,ECHS1,ALDH1A2,FADS2,NUDT7,THNSL2,HKDC1,ALDH4A1,ACOX1,ASRGL1,SLC27A4,ECI1,BSG,CES2,ACAD9,PRKAG1,ACSM5,HSD17B8,HOGA1,DECR2",4.78905028158355
"7","pink",TRUE,0.0125,276,740,29,0.039,0.105,"GO:0006631","BP",3,"fatty acid metabolic process",6,"PON1,ACAA1,ACOX3,CYP2D6,SLC25A17,DECR1,ETFB,PLA2G4C,GCDH,PON3,PTGDS,PPARGC1A,ACADL,MECR,ACOT2,ACADS,ALKBH7,ECHS1,FADS2,NUDT7,THNSL2,ACOX1,SLC27A4,ECI1,CES2,ACAD9,ACSM5,HSD17B8,DECR2",5.29083662525617
"8","pink",TRUE,5.4e-11,223,740,39,0.053,0.175,"GO:0016054","BP",3,"organic acid catabolic process",1,"PON1,ACAA1,HSD17B10,MCCC1,ACOX3,SLC9A1,TXN2,SLC25A17,FAH,DECR1,ETFB,GCDH,PON3,ACADL,MECR,CTH,ACADS,SARDH,ECHS1,TST,HRSP12,NPL,SDSL,NUDT7,GCSH,THNSL2,PCYOX1L,ADHFE1,ALDH4A1,ACOX1,ASRGL1,HAAO,ECI1,PIPOX,HEXA,DDAH2,HOGA1,DECR2,BCKDHA",5.90718404199668
"9","pink",TRUE,5.4e-11,223,740,39,0.053,0.175,"GO:0046395","BP",3,"carboxylic acid catabolic process",2,"PON1,ACAA1,HSD17B10,MCCC1,ACOX3,SLC9A1,TXN2,SLC25A17,FAH,DECR1,ETFB,GCDH,PON3,ACADL,MECR,CTH,ACADS,SARDH,ECHS1,TST,HRSP12,NPL,SDSL,NUDT7,GCSH,THNSL2,PCYOX1L,ADHFE1,ALDH4A1,ACOX1,ASRGL1,HAAO,ECI1,PIPOX,HEXA,DDAH2,HOGA1,DECR2,BCKDHA",5.90718404199668
"10","pink",TRUE,0.00726,98,740,16,0.022,0.163,"GO:0072329","BP",3,"monocarboxylic acid catabolic process",3,"ACAA1,ACOX3,SLC25A17,DECR1,ETFB,GCDH,ACADL,MECR,ACADS,ECHS1,NUDT7,ACOX1,ASRGL1,ECI1,HOGA1,DECR2",6.73232769546306
