"","darkgreen","darkolivegreen","orange","darkturquoise","paleturquoise","lightcyan","cyan","turquoise","green","white","lightgreen","brown","midnightblue","steelblue","darkgrey","purple","darkorange","yellow","grey60","blue","darkred","skyblue","pink","red","black","saddlebrown","lightyellow","violet","darkmagenta","royalblue","tan","greenyellow","salmon","magenta"
"Astrocyte",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.88254788963807e-08,1,1,1
"Bcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA1_Pyramidal",1,1,1,1,1,1,1,1,0.0291104544929539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000510497439895817,1,1,1,1,1
"CA1.Pyramidal",1,1,1,1,1,1,1,1,0.0291104544929539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000510497439895817,1,1,1,1,1
"CD8Tcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Basket_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Bergmann_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Golgi_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Granule_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,2.12049447543826e-17,1,1,1,1,1,1,0.00430563993040413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00324336650885295
"Cerebellum_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,6.97362167309197e-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25560025680235e-16
"Cerebellum_Microglia_Neuroexpresso",1,1,1,1,1,1,1,7.37596579174657e-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000700890754371641
"Cerebellum_Oligo_Neuroexpresso",1,1,1,1,1.49537474832659e-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Purkinje_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Astrocyte_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Endothelial_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.09560800024313e-10,1,1,1,1,1,1.11057379084421e-08,1,1
"Cortex_GabaPV_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_GabaRelnCalb_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_GabaVIPReln_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,3.11692258151438e-19,1,1,1,1,1,1,0.00492900962891737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000665822103680095
