"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","magenta",TRUE,0.025,9648,518,328,0.633,0.034,"GO:0005737","CC",1,"cytoplasm",1,"MAD1L1,M6PR,RHBDD2,CACNG3,CACNA1G,ALDH3B1,CCDC124,DNAH9,STARD3NL,MAMLD1,AGPAT4,B4GALT7,ATP6V0A1,RTN4R,PARP3,CAPG,FOXP3,FAM160A2,PTPRN,SNRNP40,ELMO2,RPL18,SPA17,TAF11,SEC61A2,PRKCZ,OTUD5,PSME4,MAPK6,RDH11,PRKACA,CRMP1,FERMT2,NUP37,RAP1GAP,PAK3,UBE2A,SCTR,ACOX3,TRIP6,PPP1R13B,BRAP,RAB11FIP3,LAMB1,RNF31,NANS,MRPS18A,TMED1,STX1B,SEC14L2,CYP2D6,RAB36,CYB5R3,AP1B1,SLC8A3,TELO2,EMC9,DOK5,MAP1LC3A,SYNDIG1,PIGU,ABCD1,CCDC22,EMD,OLFM4,NUTF2,COTL1,PIEZO1,BCKDK,EIF3J,TSTA3,TIMM50,TBCB,NAPA,KDELR1,PLA2G4C,BCAT2,COPE,DDX49,KXD1,ADAP1,NUDT1,AP1S1,MRPL32,RHEB,MYL7,NCS1,EDF1,RAB34,LPXN,CHKA,PRMT8,CHD4,PTP4A1,APBB3,COL7A1,HEMK1,SLC30A3,ALMS1,MRPL37,APH1A,ATP6V0B,CTNNAL1,FABP3,HPCA,SV2C,HS3ST2,ZMIZ2,CHPF,SOX4,MSTO1,GRIA3,RBCK1,LAMP5,ITPA,CITED1,CFP,FGFRL1,FBXL12,PKMYT1,STRIP2,AANAT,SYT5,APOE,TOMM40,OLFM1,CHMP2A,NR1H2,PODNL1,RRP8,TOE1,VSTM2L,POMP,PEMT,MPRIP,CCNA1,RRAS2,C14ORF1,THUMPD3,ACP2,TTLL4,SERPINE2,SPRY2,EPRS,GAD2,TXN,ST6GALNAC4,CDK5RAP2,DPM2,PAK6,CENPO,RBP4,PPCDC,MAPK8IP3,SNRPF,SDSL,MMAB,CELF6,RANBP10,SGSM2,RNF165,FKBP10,CACNA1A,SH3BGRL3,TMCO1,PFDN2,CRABP2,MRPL9,OAZ3,ACTA1,PSEN2,MARCH4,CRHBP,CXCL14,PCYOX1L,ANO7,CHST7,EBP,NSDHL,CETN2,RPL10,LRSAM1,TUT1,DUSP15,DOC2A,TIMM8B,EXT2,CCDC3,ADAM17,GABRA2,CMIP,DNAAF1,TCEB1,VOPP1,TRIM74,ELMO1,CPT2,C21ORF59,CELF3,ALDH4A1,ATAD3B,SLC37A1,NDUFV3,G6PD,AGPAT3,S100A1,FLAD1,RPL8,ACOX1,CCDC78,SLC25A45,AKR7A3,SDC3,HAAO,MRPL55,RNF25,PMPCA,NSMF,TRMT61A,FAM96B,TSC22D4,SLC27A4,RAB4B,ECI1,KCTD5,BSCL2,SLC3A2,GLYCTK,TMEM223,NDUFS5,CPLX1,XPO6,HSPB3,SPNS1,GUSB,TRAPPC1,ADRA1B,SPATA24,SCG2,ALG14,CSDC2,CES2,LCLAT1,FKBP2,CCDC106,PHOSPHO1,SLC16A11,RIN1,YIF1A,CNIH2,C19ORF70,SPSB4,PARL,PCSK1,AURKAIP1,B3GALT6,CHMP6,PXMP2,POLR2L,UBE2N,MLF1,EXOSC4,IGSF22,ALOXE3,TMEM86B,MYLPF,SSR4,TRAPPC5,PENK,GPR135,COA4,WBP2NL,RUVBL2,MRPL54,UPP1,EIF3C,TXNRD2,SEPT9,DRG1,ATP6V0C,TOR3A,KIF24,NANOS3,RILPL1,WNT7B,S100A13,MAOA,S100A14,SEMA4A,NUDT11,INCA1,FLNA,AP2A1,LAGE3,SULT1A2,SLC22A4,ENTPD6,ELOVL2,SPRED2,DDX39B,MSRB1,GPATCH3,HMGN2,APRT,FANK1,GDI1,PFDN6,AGPAT1,NEU1,AKT1S1,TTC25,PSENEN,LAT,DDAH2,TM6SF2,MSMP,MYL5,PAM16,OST4,HLA-DOB,ARPC4,PLEKHO2,MRPL20,DECR2,CDK3,CUX1,TIMM23,IKBKG",1.14744902579554
"2","tan",TRUE,0.0254,122,188,10,0.053,0.082,"REAC:R-HSA-1630316","rea",1,"Glycosaminoglycan metabolism",1,"NDST1,HAS1,IDUA,GLCE,HS2ST1,B3GNT7,B3GNT2,HS3ST4,CHP1,GPC2",NA
"3","darkgreen",TRUE,0.048,96,421,11,0.026,0.115,"GO:0099003","BP",4,"vesicle-mediated transport in synapse",1,"SYT13,AP3M2,MAP2,FMR1,RAB3GAP1,PACSIN1,SYT6,STXBP1,PREPL,NLGN4X,VAMP2",NA
"4","darkgreen",TRUE,0.000837,421,421,29,0.069,0.069,"GO:0032990","BP",23,"cell part morphogenesis",1,"RUFY3,MAP2,EPB41L3,GSK3B,MAPK1,WASL,CAPRIN2,WNT5A,EPHA4,PACSIN1,YWHAH,CHN1,STXBP1,CNTN4,LRRC4C,PAK1,PID1,PRKCA,CNTNAP2,CDK5R1,SLITRK4,NRXN1,AMIGO1,MAPT,DCC,RELN,SPTAN1,ATL1,SLC9A6",4.51019439176004
"5","darkgreen",TRUE,0.00168,411,421,28,0.067,0.068,"GO:0048858","BP",23,"cell projection morphogenesis",2,"RUFY3,MAP2,EPB41L3,GSK3B,MAPK1,WASL,CAPRIN2,WNT5A,EPHA4,PACSIN1,YWHAH,CHN1,STXBP1,CNTN4,LRRC4C,PAK1,PRKCA,CNTNAP2,CDK5R1,SLITRK4,NRXN1,AMIGO1,MAPT,DCC,RELN,SPTAN1,ATL1,SLC9A6",4.52425555413189
"6","darkgreen",TRUE,0.00145,408,421,28,0.067,0.069,"GO:0120039","BP",23,"plasma membrane bounded cell projection morphogenesis",3,"RUFY3,MAP2,EPB41L3,GSK3B,MAPK1,WASL,CAPRIN2,WNT5A,EPHA4,PACSIN1,YWHAH,CHN1,STXBP1,CNTN4,LRRC4C,PAK1,PRKCA,CNTNAP2,CDK5R1,SLITRK4,NRXN1,AMIGO1,MAPT,DCC,RELN,SPTAN1,ATL1,SLC9A6",NA
"7","darkgreen",TRUE,0.0409,567,421,31,0.074,0.055,"GO:0031175","BP",23,"neuron projection development",1,"RUFY3,MAP2,EPB41L3,GSK3B,MAPK1,FMR1,WASL,CAPRIN2,WNT5A,EPHA4,CAMSAP2,SLC12A5,PACSIN1,YWHAH,CHN1,STXBP1,CNTN4,LRRC4C,PAK1,PRKCA,CNTNAP2,CDK5R1,SLITRK4,NRXN1,AMIGO1,MAPT,DCC,RELN,SPTAN1,ATL1,SLC9A6",4.4839461656851
"8","darkgreen",TRUE,0.00222,299,421,23,0.055,0.077,"GO:0061564","BP",23,"axon development",2,"RUFY3,MAP2,GSK3B,MAPK1,WNT5A,EPHA4,CAMSAP2,CHN1,STXBP1,CNTN4,LRRC4C,PAK1,PRKCA,CDK5R1,SLITRK4,NRXN1,AMIGO1,MAPT,DCC,RELN,SPTAN1,ATL1,SLC9A6",4.9044197121187
"9","darkgreen",TRUE,0.0106,116,421,13,0.031,0.112,"GO:0016358","BP",23,"dendrite development",2,"MAP2,GSK3B,FMR1,WASL,CAPRIN2,EPHA4,CAMSAP2,SLC12A5,PACSIN1,YWHAH,CDK5R1,DCC,RELN",6.44618054272936
"10","darkgreen",TRUE,0.000794,396,421,28,0.067,0.071,"GO:0048812","BP",23,"neuron projection morphogenesis",2,"RUFY3,MAP2,EPB41L3,GSK3B,MAPK1,WASL,CAPRIN2,WNT5A,EPHA4,PACSIN1,YWHAH,CHN1,STXBP1,CNTN4,LRRC4C,PAK1,PRKCA,CNTNAP2,CDK5R1,SLITRK4,NRXN1,AMIGO1,MAPT,DCC,RELN,SPTAN1,ATL1,SLC9A6",4.76560153027002
