"","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","grey60",TRUE,0.0222,1644,430,68,0.158,0.041,"GO:0044281","BP",13,"small molecule metabolic process",1,"COX10,PGM3,DERA,CD44,MSMO1,IDI1,SDHA,ADCY2,EDN1,OSBPL6,FH,CRAT,SORBS1,SEC14L2,CDADC1,OGDH,PPIF,ALDOC,ST3GAL4,CARS,GAPDH,HMGCS1,EHHADH,HYAL1,ATP5F1,WARS2,MTHFD1L,SARDH,MCEE,GLO1,APOL2,SLC6A8,GFPT2,AMPD3,YARS,FADS2,PNPLA8,PLCE1,ALDH1L1,FADS1,OXSM,ADCY8,PHKG2,CDA,CBR1,PADI4,G6PD,PLCD3,CDS1,NDUFS4,FAAH2,GPT2,TK1,AHCYL1,ADAL,TPST1,CCBL1,CYP4F11,DHCR7,LPL,SPHK1,COX8A,NDUFV2,GLDC,CYC1,TCN2,PLCD1,GK",3.03885756764053
"2","grey60",TRUE,0.0482,149,430,14,0.033,0.094,"GO:0031032","BP",5,"actomyosin structure organization",1,"WDR1,EDN1,ASAP3,SORBS1,ARHGEF10,MYH14,LIMK1,PFN1,EPB41L4A,RHOC,WASF2,ZYX,LMOD1,S100A10",6.67858341945637
"3","grey60",TRUE,0.0252,1054,430,49,0.114,0.046,"GO:0002252","BP",15,"immune effector process",1,"MGST1,MVP,CAPN1,DERA,CD44,TRAF3IP2,ABCC9,AP1M1,RAB7A,PPIE,PSMD7,JAK3,RAB3A,LIMK1,GBF1,ALDOC,CD81,CCR6,ACTR1B,PSMD14,MASP1,LGALS3,CHI3L1,CHIT1,AMPD3,TMBIM1,ABI1,SLC15A4,IFITM3,PSMA5,SERPING1,WASF2,CDA,C1R,AIRE,PTX3,CXCL5,GYG1,FABP5,RAB4B,EEF2,C20ORF196,C1S,ANXA2,ACTG1,PROS1,SERPINA3,C4B,C4A",4.69437938580291
"4","grey60",TRUE,0.0315,493,430,29,0.067,0.059,"GO:0002446","BP",6,"neutrophil mediated immunity",1,"MGST1,MVP,CAPN1,DERA,CD44,AP1M1,RAB7A,PPIE,PSMD7,RAB3A,ALDOC,ACTR1B,PSMD14,LGALS3,CHI3L1,CHIT1,AMPD3,TMBIM1,SLC15A4,PSMA5,CDA,PTX3,CXCL5,GYG1,FABP5,RAB4B,EEF2,ANXA2,SERPINA3",8.49387338609462
"5","grey60",TRUE,1.31e-05,11197,430,326,0.758,0.029,"GO:0043226","CC",20,"organelle",1,"CIAPIN1,AGK,COX10,MGST1,DYRK4,TTC19,MVP,CAPN1,DERA,VIM,FAS,CD44,RNF19A,CLEC16A,TNC,CAPG,OFD1,VPS13D,MSMO1,SEC61A1,IDI1,DNTTIP2,MAOB,TGFBR3,WIPI1,WDR1,MRVI1,AP1M1,SDHA,SLC25A3,RAB7A,CAPZB,TULP3,EDN1,OSBPL6,NFE2L1,RRAGB,PPIE,EIF3I,ALG9,PPP1R15A,OGFOD1,C14ORF166,PHACTR3,PIR,ASAP3,CRLS1,RPH3A,FXYD3,FH,PSME1,CDC23,CRAT,SORBS1,PSMD8,SEC14L2,KDELR3,DMC1,POLE2,PSMA3,SNW1,CEP128,RBBP8,NKAP,AMMECR1,PLP2,TIMP1,CDADC1,UGGT2,CLN5,PSMD7,LAPTM4B,ARHGEF10,KCNN4,NUCB1,POP4,ANKRD27,CLIP3,PLIN3,MYH14,NAPA,KDELR1,JAK3,RAB3A,OGDH,TFR2,MRPL32,LIMK1,CDH23,GBF1,PPIF,PFN1,EFTUD2,SLC9A3R1,ALDOC,UFSP2,VWA5A,SIAE,ST3GAL4,CD81,GAPDH,RFX4,CCR6,TBP,EHHADH,GNAI2,HYAL1,ACTR1B,PSMD14,IGFBP2,BCL9,ATP5F1,WARS2,NID1,GBP1,ECE1,CNN3,TXNDC12,NEK6,MTHFD1L,SOHLH2,SMAD9,DNAI1,SARDH,MCEE,SPDEF,GLO1,CITED1,RALY,SBDS,TRAP1,MASP1,FGFRL1,PNKD,APOL2,PSMA1,AP1M2,EPB41L4A,MPP1,CASZ1,ATP6V1E1,ABCB7,GALNT15,PDLIM4,MAP1B,LGALS3,ITGB4,DAP3,PEMT,CHI3L1,CHIT1,TRPC4,AMPD3,CDK7,AP4B1,RBMX2,YARS,DSC2,ELP2,FADS2,COL4A2,UBAC2,PNPLA8,ITM2C,TMBIM1,ABI1,PRPF4,IL33,TUBB2B,IL18BP,MRPL15,C11ORF70,LRPPRC,STAT4,PPIG,SEC31A,ENPEP,RGS3,C1RL,VAMP1,POC1B,SLC15A4,ESYT1,MAP1LC3B,TP53,HSPG2,PSMA5,TP53BP2,SYT2,CALM2,FAM198A,ALDH1L1,TNIP1,TRIM7,MSN,RPL10,SERPING1,FADS1,CHEK1,PRSS23,UBC,OXSM,THYN1,XRCC4,ZNF256,SPARCL1,MR1,PITPNC1,OXNAD1,SLC25A28,RHOC,NUP205,RMND1,DRAM2,RPGR,WDYHV1,WDR19,RADIL,WASF2,CDA,CBR1,PADI4,C1R,ZYX,TMPRSS3,G6PD,AIRE,VPS11,LMNA,MYL3,CCDC116,ZNF385A,ASGR2,PDPN,GNPDA2,LMOD1,FEV,CDS1,PTX3,GYG1,RPL39L,SHISA5,POC1A,MAD2L1,NDUFS4,FABP5,LETM2,PIGA,C9ORF89,FAAH2,GHITM,RET,ANKRD2,GPT2,ILK,PLEKHA7,RAB4B,EEF2,SCARA3,RFWD3,TNXB,SERINC2,AHCYL1,SLC25A6,CCDC8,TPST1,CMTM8,SMAD1,CCBL1,CYP4F11,C20ORF196,SMN1,STARD5,DHCR7,PITPNA,DCTN2,SLC35A4,COX8A,RNF152,PPP1R42,NDUFV2,GLDC,EPM2AIP1,CYC1,SLC9A9,SLC2A4,SYNM,LIMK2,ANXA2,CEP63,ARSI,ACTG1,NIPSNAP1,CCR10,PROS1,SFTPA2,TCN2,WWOX,PLCD1,COL4A1,FAM83G,S100A16,ALKBH2,S100A14,SERPINA3,NIF3L1,PTPN1,ANXA6,SLC6A17,SND1,RPF2,S100A10,GK,DDR1,RANBP17,SDHAF1,LIN52,GPX3,ARHGAP19,PPME1,C4B,ZNF512,C4A,TUBB3,GPR75-ASB3,TAF9",0.760772938189011
"6","grey60",TRUE,0.000599,2152,430,89,0.207,0.041,"GO:0043230","CC",20,"extracellular organelle",2,"MVP,CAPN1,VIM,FAS,CD44,CAPG,VPS13D,TGFBR3,WDR1,AP1M1,SLC25A3,RAB7A,CAPZB,EIF3I,FXYD3,FH,PSME1,SEC14L2,PSMA3,TIMP1,CLN5,PSMD7,NUCB1,MYH14,NAPA,RAB3A,PFN1,SLC9A3R1,ALDOC,SIAE,CD81,GAPDH,GNAI2,HYAL1,ACTR1B,IGFBP2,NID1,ECE1,GLO1,PSMA1,ATP6V1E1,LGALS3,ITGB4,CHI3L1,DSC2,COL4A2,ITM2C,TMBIM1,ABI1,IL18BP,ENPEP,C1RL,HSPG2,PSMA5,ALDH1L1,MSN,SERPING1,PRSS23,UBC,RHOC,WASF2,CBR1,C1R,G6PD,FABP5,GHITM,PLEKHA7,EEF2,TNXB,SERINC2,AHCYL1,PITPNA,DCTN2,ANXA2,ACTG1,PROS1,PLCD1,S100A16,S100A14,SERPINA3,ANXA6,SND1,S100A10,GK,DDR1,GPX3,C4B,C4A,TUBB3",3.1928178708395
"7","grey60",TRUE,0.000719,10424,430,302,0.702,0.029,"GO:0043227","CC",20,"membrane-bounded organelle",2,"CIAPIN1,AGK,COX10,MGST1,DYRK4,TTC19,MVP,CAPN1,DERA,VIM,FAS,CD44,CLEC16A,TNC,CAPG,VPS13D,MSMO1,SEC61A1,IDI1,DNTTIP2,MAOB,TGFBR3,WIPI1,WDR1,MRVI1,AP1M1,SDHA,SLC25A3,RAB7A,CAPZB,TULP3,EDN1,OSBPL6,NFE2L1,RRAGB,PPIE,EIF3I,ALG9,PPP1R15A,OGFOD1,C14ORF166,PHACTR3,PIR,ASAP3,CRLS1,RPH3A,FXYD3,FH,PSME1,CDC23,CRAT,SORBS1,PSMD8,SEC14L2,KDELR3,DMC1,POLE2,PSMA3,SNW1,RBBP8,NKAP,AMMECR1,PLP2,TIMP1,CDADC1,UGGT2,CLN5,PSMD7,LAPTM4B,KCNN4,NUCB1,POP4,ANKRD27,CLIP3,PLIN3,MYH14,NAPA,KDELR1,JAK3,RAB3A,OGDH,TFR2,MRPL32,LIMK1,GBF1,PPIF,PFN1,EFTUD2,SLC9A3R1,ALDOC,UFSP2,VWA5A,SIAE,ST3GAL4,CD81,GAPDH,RFX4,TBP,EHHADH,GNAI2,HYAL1,ACTR1B,PSMD14,IGFBP2,BCL9,ATP5F1,WARS2,NID1,GBP1,ECE1,TXNDC12,NEK6,MTHFD1L,SOHLH2,SMAD9,SARDH,MCEE,SPDEF,GLO1,CITED1,RALY,SBDS,TRAP1,MASP1,FGFRL1,PNKD,APOL2,PSMA1,AP1M2,MPP1,CASZ1,ATP6V1E1,ABCB7,GALNT15,PDLIM4,LGALS3,ITGB4,DAP3,PEMT,CHI3L1,CHIT1,AMPD3,CDK7,AP4B1,RBMX2,YARS,DSC2,ELP2,FADS2,COL4A2,UBAC2,PNPLA8,ITM2C,TMBIM1,ABI1,PRPF4,IL33,TUBB2B,IL18BP,MRPL15,LRPPRC,STAT4,PPIG,SEC31A,ENPEP,RGS3,C1RL,VAMP1,SLC15A4,ESYT1,MAP1LC3B,TP53,HSPG2,PSMA5,TP53BP2,SYT2,CALM2,FAM198A,ALDH1L1,TNIP1,TRIM7,MSN,RPL10,SERPING1,FADS1,CHEK1,PRSS23,UBC,OXSM,THYN1,XRCC4,ZNF256,SPARCL1,MR1,PITPNC1,OXNAD1,SLC25A28,RHOC,NUP205,RMND1,DRAM2,RPGR,WDYHV1,WDR19,WASF2,CDA,CBR1,PADI4,C1R,ZYX,TMPRSS3,G6PD,AIRE,VPS11,LMNA,ZNF385A,ASGR2,PDPN,GNPDA2,FEV,CDS1,PTX3,GYG1,SHISA5,MAD2L1,NDUFS4,FABP5,LETM2,PIGA,C9ORF89,GHITM,RET,ANKRD2,GPT2,ILK,PLEKHA7,RAB4B,EEF2,SCARA3,RFWD3,TNXB,SERINC2,AHCYL1,SLC25A6,CCDC8,TPST1,CMTM8,SMAD1,CCBL1,CYP4F11,SMN1,STARD5,DHCR7,PITPNA,DCTN2,SLC35A4,COX8A,RNF152,NDUFV2,GLDC,EPM2AIP1,CYC1,SLC9A9,SLC2A4,LIMK2,ANXA2,ARSI,ACTG1,NIPSNAP1,CCR10,PROS1,SFTPA2,TCN2,WWOX,PLCD1,COL4A1,FAM83G,S100A16,ALKBH2,S100A14,SERPINA3,NIF3L1,PTPN1,ANXA6,SLC6A17,SND1,RPF2,S100A10,GK,DDR1,RANBP17,SDHAF1,LIN52,GPX3,ARHGAP19,PPME1,C4B,ZNF512,C4A,TUBB3,GPR75-ASB3,TAF9",0.950314742956453
"8","grey60",TRUE,1.43e-06,3333,430,133,0.309,0.04,"GO:0031982","CC",20,"vesicle",3,"MGST1,MVP,CAPN1,DERA,VIM,FAS,CD44,CLEC16A,CAPG,VPS13D,TGFBR3,WIPI1,WDR1,AP1M1,SLC25A3,RAB7A,CAPZB,EDN1,RRAGB,PPIE,EIF3I,RPH3A,FXYD3,FH,PSME1,SEC14L2,KDELR3,PSMA3,TIMP1,CLN5,PSMD7,LAPTM4B,KCNN4,NUCB1,ANKRD27,CLIP3,PLIN3,MYH14,NAPA,KDELR1,JAK3,RAB3A,TFR2,PFN1,SLC9A3R1,ALDOC,SIAE,CD81,GAPDH,GNAI2,HYAL1,ACTR1B,PSMD14,IGFBP2,NID1,GBP1,ECE1,GLO1,FGFRL1,PSMA1,AP1M2,ATP6V1E1,GALNT15,PDLIM4,LGALS3,ITGB4,CHI3L1,CHIT1,AMPD3,AP4B1,DSC2,COL4A2,ITM2C,TMBIM1,ABI1,IL18BP,SEC31A,ENPEP,C1RL,VAMP1,SLC15A4,HSPG2,PSMA5,SYT2,CALM2,ALDH1L1,MSN,SERPING1,PRSS23,UBC,RHOC,WASF2,CDA,CBR1,C1R,G6PD,VPS11,PDPN,PTX3,GYG1,FABP5,GHITM,RET,PLEKHA7,RAB4B,EEF2,TNXB,SERINC2,AHCYL1,PITPNA,DCTN2,SLC9A9,SLC2A4,ANXA2,ACTG1,PROS1,SFTPA2,TCN2,PLCD1,S100A16,S100A14,SERPINA3,PTPN1,ANXA6,SLC6A17,SND1,S100A10,GK,DDR1,GPX3,C4B,C4A,TUBB3",2.6951949366212
"9","grey60",TRUE,0.000587,2151,430,89,0.207,0.041,"GO:1903561","CC",20,"extracellular vesicle",4,"MVP,CAPN1,VIM,FAS,CD44,CAPG,VPS13D,TGFBR3,WDR1,AP1M1,SLC25A3,RAB7A,CAPZB,EIF3I,FXYD3,FH,PSME1,SEC14L2,PSMA3,TIMP1,CLN5,PSMD7,NUCB1,MYH14,NAPA,RAB3A,PFN1,SLC9A3R1,ALDOC,SIAE,CD81,GAPDH,GNAI2,HYAL1,ACTR1B,IGFBP2,NID1,ECE1,GLO1,PSMA1,ATP6V1E1,LGALS3,ITGB4,CHI3L1,DSC2,COL4A2,ITM2C,TMBIM1,ABI1,IL18BP,ENPEP,C1RL,HSPG2,PSMA5,ALDH1L1,MSN,SERPING1,PRSS23,UBC,RHOC,WASF2,CBR1,C1R,G6PD,FABP5,GHITM,PLEKHA7,EEF2,TNXB,SERINC2,AHCYL1,PITPNA,DCTN2,ANXA2,ACTG1,PROS1,PLCD1,S100A16,S100A14,SERPINA3,ANXA6,SND1,S100A10,GK,DDR1,GPX3,C4B,C4A,TUBB3",3.19352709072738
"10","grey60",TRUE,0.00846,8082,430,242,0.563,0.03,"GO:0044422","CC",20,"organelle part",2,"CIAPIN1,AGK,COX10,MGST1,TTC19,MVP,CAPN1,DERA,VIM,FAS,CD44,RNF19A,TNC,CAPG,OFD1,MSMO1,SEC61A1,DNTTIP2,MAOB,WIPI1,WDR1,MRVI1,AP1M1,SDHA,SLC25A3,RAB7A,CAPZB,TULP3,OSBPL6,RRAGB,PPIE,ALG9,PPP1R15A,C14ORF166,PHACTR3,PIR,ASAP3,CRLS1,RPH3A,FH,PSME1,CDC23,CRAT,SORBS1,PSMD8,KDELR3,DMC1,POLE2,PSMA3,SNW1,CEP128,RBBP8,NKAP,PLP2,TIMP1,UGGT2,CLN5,PSMD7,LAPTM4B,ARHGEF10,NUCB1,POP4,ANKRD27,CLIP3,MYH14,NAPA,KDELR1,RAB3A,OGDH,MRPL32,LIMK1,CDH23,GBF1,PPIF,EFTUD2,SLC9A3R1,ALDOC,VWA5A,ST3GAL4,GAPDH,CCR6,TBP,EHHADH,GNAI2,HYAL1,ACTR1B,PSMD14,BCL9,ATP5F1,WARS2,GBP1,ECE1,TXNDC12,NEK6,MTHFD1L,SMAD9,DNAI1,SARDH,MCEE,CITED1,RALY,SBDS,TRAP1,MASP1,APOL2,PSMA1,AP1M2,MPP1,CASZ1,ATP6V1E1,ABCB7,GALNT15,PDLIM4,MAP1B,LGALS3,DAP3,PEMT,CHI3L1,CHIT1,AMPD3,CDK7,AP4B1,RBMX2,YARS,ELP2,FADS2,COL4A2,PNPLA8,TMBIM1,PRPF4,IL33,TUBB2B,MRPL15,LRPPRC,STAT4,PPIG,SEC31A,ENPEP,RGS3,VAMP1,POC1B,SLC15A4,ESYT1,MAP1LC3B,TP53,HSPG2,PSMA5,TP53BP2,SYT2,CALM2,TNIP1,RPL10,SERPING1,FADS1,CHEK1,PRSS23,UBC,XRCC4,SPARCL1,PITPNC1,SLC25A28,RHOC,NUP205,RPGR,WDR19,RADIL,CDA,PADI4,ZYX,TMPRSS3,AIRE,VPS11,LMNA,MYL3,CCDC116,ZNF385A,ASGR2,LMOD1,FEV,CDS1,PTX3,GYG1,RPL39L,SHISA5,POC1A,MAD2L1,NDUFS4,FABP5,LETM2,PIGA,RET,ANKRD2,GPT2,ILK,PLEKHA7,RAB4B,EEF2,RFWD3,AHCYL1,SLC25A6,CCDC8,TPST1,CMTM8,SMAD1,CCBL1,CYP4F11,C20ORF196,SMN1,DHCR7,DCTN2,COX8A,RNF152,PPP1R42,NDUFV2,GLDC,EPM2AIP1,CYC1,SLC9A9,SLC2A4,SYNM,ANXA2,CEP63,ARSI,ACTG1,PROS1,SFTPA2,TCN2,WWOX,COL4A1,S100A16,ALKBH2,S100A14,SERPINA3,PTPN1,ANXA6,RPF2,RANBP17,LIN52,PPME1,C4A,TUBB3,TAF9",1.42400670158964
