"","saddlebrown","grey60","midnightblue","lightyellow","salmon","paleturquoise","blue","cyan","darkgrey","red","turquoise","skyblue","black","lightcyan","darkred","lightgreen","white","steelblue","purple","green","greenyellow","magenta","darkgreen","tan","violet","royalblue","brown","pink","darkturquoise","orange","yellow","darkorange"
"Astrocyte",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.14052774650992e-07,1,1,1,6.27849473421791e-06,1,1,1,1
"Bcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA1_Pyramidal",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA1.Pyramidal",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CD8Tcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Basket_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Bergmann_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.58769728369193e-06,1,1,1,1
"Cerebellum_Golgi_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Granule_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,1.23375962063545e-13,1.6836600451932e-20,1,1,1,0.0125651086265345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,4.63356347303312e-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Microglia_Neuroexpresso",1,1,1,1,1,1,1,5.93919196717068e-26,4.84672385105913e-09,1,1,1,0.00609155071609631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Oligo_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.95502569025027e-20,1,1,1,1,1
"Cerebellum_Purkinje_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Astrocyte_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Endothelial_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.10374395582852e-50,1,1,1,1,1,1,1
"Cortex_GabaPV_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_GabaRelnCalb_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_GabaVIPReln_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,6.49963424656783e-14,1.78421932729239e-14,1,1,1,0.022277801773471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,6.55198280744591e-38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Microglia_Neuroexpresso",1,1,1,1,1,1,1,8.93036657427646e-38,2.80251974583936e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Oligo_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.25251738129685e-42,1,1,1,1,1
"Cortex_OligoPrecursors_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0213936595614273,1,1,1,1,1
"Cortex_Pyramidal_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cytotoxiccells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DAMANIS_MICROGLIA",1,1,1,1,1,1,1,3.04010033840295e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_ASTROCYES",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.93636737445232e-06,1,1,1,1,1,1,1,1
"DARMANIS_ENDOTHELIAL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.3726641786773e-10,1,1,1,1,1,1,1
"DARMANIS_FETAL1",1,1,1,1,1,1,1,1,0.0267301584192788,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_FETAL2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_MIXTURENEUASTRO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_MIXTURENEUOLIGOPC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_NEUROND",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_OLIGO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.437851265783e-24,1,1,1,1,1
"DARMANIS_OPCS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.012857314039095,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
