"","paleturquoise","royalblue","turquoise","greenyellow","tan","pink","saddlebrown","white","darkgrey","red","darkorange","skyblue","cyan","darkred","purple","green","black","lightyellow","lightcyan","yellow","salmon","magenta","darkturquoise","steelblue","midnightblue","orange","darkgreen","brown","lightgreen","blue","grey60"
"Astrocyte",1,1,1,1,1,1,1,1,1,0.0435544345108714,1,1,1,1,1,1,0.0286953932124398,1,1,1,7.93857991437351e-08,1,1,1,1,1,1,1,1,1,1
"Bcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA1_Pyramidal",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0413217856535697,1,1,1,1,1,1,1,1
"CA1.Pyramidal",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0413217856535697,1,1,1,1,1,1,1,1
"CD8Tcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Basket_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Bergmann_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Golgi_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Granule_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,1,9.13901908959806e-20,1,1,1,0.00191616009019568,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.62503316046094e-13
"Cerebellum_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.7736336072484e-30
"Cerebellum_Microglia_Neuroexpresso",1,1,1,1,1,1,1,1,5.12773119969638e-10,1,1,1,0.0060993577685413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.67141814500609e-26
